ケース番号,k1,PL_value,Yco,バス番号,Excel_O1,Excel_T4,Excel_T5,Excel_T6
1,1.0,1.8919,0.25,11,1,1.8919,0.25,11
2,1.0,1.8919,0.25,11,1,1.8919,0.25,11
3,1.0,1.8919,0.25,11,1,1.8919,0.25,11
